title,director,actors,country,release_year,rating,duration,year_added,month_added,day_added,genres,budget,color
7:19,Jorge Michel Grau,100,Mexico,2016,20,93,2016,12,23,Dramas,237000000,Color
23:59,Gilbert Chan,122,Singapore,2011,45,78,2018,12,20,Horror,300000000,Color
9,Shane Acker,111,United,2009,55,80,2017,11,16,Action,245000000,Color
21,Robert Luketic,133,United,2008,75,123,2020,1,1,Dramas,250000000,Color
122,Yasir Al Yasiri,128,Egypt,2019,80,95,2020,6,1,Horror,250000000,Color
187,Kevin Reynolds,111,United,1997,75,119,2019,11,1,Dramas,263700000,Color
706,Shravan Kumar,110,India,2019,5,118,2019,4,1,Horror,258000000,Color
1920,Vikram Bhatt,115,India,2008,50,143,2017,12,15,Horror,260000000,Color
1922,Zak Hilditch,123,United,2017,100,103,2017,10,20,Dramas,250000000,Color
"2,215",Nottapon Boonprakob,114,Thailand,2018,90,89,2019,3,1,Documentaries,250000000,Color
3022,John Suits,124,United,2019,100,91,2020,3,19,Independent,250000000,Color
Oct-01,Kunle Afolayan,110,Nigeria,2014,70,149,2019,9,1,Dramas,209000000,Color
22-Jul,Paul Greengrass,125,Norway,2018,100,144,2018,10,10,Dramas,200000000,Color
15-Aug,Swapnaneel Jayakar,116,India,2019,80,124,2019,3,29,Comedies,225000000,Color
'89,,99,United,2017,80,87,2018,5,16,Sports,215000000,Color
​​Kuch Bheege Alfaaz,Onir,120,India,2018,85,110,2018,9,1,Dramas,225000000,Color
​Goli Soda 2,Vijay Milton,126,India,2018,100,128,2018,9,15,Action,225000000,Color
​Maj Rati ​​Keteki,Santwana Bardoloi,124,India,2017,100,117,2018,9,15,Dramas,220000000,Color
​Mayurakshi,Atanu Ghosh,106,India,2017,95,100,2018,9,15,Dramas,250000000,Color
(T)ERROR,"Lyric R. Cabral, David Felix Sutcliffe",126,United,2015,85,84,2016,6,30,Documentaries,225000000,Color
#Alive,Cho Il,102,South,2020,95,99,2020,9,8,Horror,250000000,Color
#AnneFrank - Parallel Stories,"Sabina Fedeli, Anna Migotto",129,Italy,2019,100,95,2020,7,1,Documentaries,230000000,Color
#cats_the_mewvie,Michael Margolis,107,Canada,2020,100,90,2020,2,5,Documentaries,200000000,Color
#FriendButMarried,Rako Prijanto,133,Indonesia,2018,90,102,2020,5,21,Dramas,225000000,Color
#FriendButMarried 2,Rako Prijanto,132,Indonesia,2020,80,104,2020,6,28,Dramas,180000000,Color
#realityhigh,Fernando Lebrija,128,United,2017,75,99,2017,9,8,Comedies,207000000,Color
#Roxy,Michael Kennedy,121,Canada,2018,100,105,2019,4,10,Comedies,200000000,Color
#Rucker50,Robert McCullough Jr.,128,United,2016,30,56,2016,12,1,Documentaries,250000000,Color
